Name MC MP
"Bitcoin (Биткоин)" ₽116,782,914,574,268 55.607%
"Ethereum (Эфириум)" ₽38,336,683,961,258 18.254%
"Tether (Тезер)" ₽9,991,375,984,359 4.757%
BNB ₽7,989,599,916,534 3.804%
"Solana (Солана)" ₽6,090,704,830,352 2.900%
USDC ₽2,883,900,703,348 1.373%
XRP ₽2,420,671,458,918 1.153%
"Dogecoin (Догекоин)" ₽1,759,198,152,841 0.838%
"Toncoin (Тонкоин)" ₽1,726,664,810,743 0.822%
"Cardano (Кардано)" ₽1,319,786,456,912 0.628%
"Shiba Inu (Шиба-ину)" ₽1,094,666,246,249 0.521%
"Avalanche (Аваланч)" ₽1,053,611,287,436 0.502%
"TRON (ТРОН)" ₽896,313,884,729 0.427%
"Polkadot (Полькадот)" ₽809,918,630,471 0.386%
"Chainlink (Чейнлинк)" ₽788,491,727,278 0.375%
"Bitcoin Cash (Биткоин-кэш)" ₽756,114,519,796 0.360%
"Uniswap (Юнисвап)" ₽611,432,208,835 0.291%
"Polygon (Полигон)" ₽550,536,341,566 0.262%
"NEAR Protocol" ₽546,205,497,864 0.260%
"Litecoin (Лайткоин)" ₽524,981,710,035 0.250%
"UNUS SED LEO" ₽475,505,604,470 0.226%
Dai ₽475,030,352,602 0.226%
Pepe ₽449,009,897,962 0.214%
"Internet Computer (Интернет-компьютер)" ₽385,238,552,763 0.183%
"Ethereum Classic" ₽334,464,940,938 0.159%
Kaspa ₽327,508,150,476 0.156%
Aptos ₽315,036,347,083 0.150%
Monero ₽285,660,863,982 0.136%
Render ₽282,891,840,072 0.135%
Hedera ₽272,738,831,893 0.130%
Filecoin ₽262,357,873,567 0.125%
Mantle ₽259,695,323,620 0.124%
Stellar ₽254,653,057,447 0.121%
Cosmos ₽250,722,666,420 0.119%
Stacks ₽249,601,391,021 0.119%
OKB ₽245,870,482,126 0.117%
Arbitrum ₽237,937,444,164 0.113%
Cronos ₽234,249,430,386 0.112%
Immutable ₽229,962,052,188 0.109%
dogwifhat ₽228,078,631,612 0.109%
"First Digital USD" ₽226,079,180,201 0.108%
Injective ₽207,880,640,184 0.099%
Sui ₽205,094,758,805 0.098%
Optimism ₽200,852,388,802 0.096%
"The Graph" ₽200,135,927,021 0.095%
Maker ₽198,355,806,273 0.094%
Bittensor ₽191,819,583,781 0.091%
VeChain ₽189,433,622,373 0.090%
Notcoin ₽181,923,072,558 0.087%
FLOKI ₽174,606,507,793 0.083%
"Lido DAO" ₽176,386,759,758 0.084%
Arweave ₽164,842,361,773 0.078%
JasmyCoin ₽159,081,308,656 0.076%
Fantom ₽157,220,117,478 0.075%
Bonk ₽151,896,066,875 0.072%
"Theta Network" ₽151,043,162,789 0.072%
Ondo ₽146,715,261,127 0.070%
"Bitget Token" ₽143,122,829,505 0.068%
"Brett (Based)" ₽140,810,627,467 0.067%
THORChain ₽139,394,705,407 0.066%
Celestia ₽134,806,344,868 0.064%
Core ₽129,364,204,462 0.062%
"Pyth Network" ₽117,256,127,294 0.056%
Algorand ₽112,857,769,305 0.054%
Aave ₽112,646,811,988 0.054%
Sei ₽112,411,589,434 0.054%
Fetch.ai ₽110,005,224,972 0.052%
Starknet ₽108,084,914,360 0.051%
Jupiter ₽107,881,929,554 0.051%
Flare ₽103,244,243,496 0.049%
Ethena ₽102,153,063,665 0.049%
Flow ₽97,538,047,794 0.046%
Gala ₽93,266,409,685 0.044%
"KuCoin Token" ₽88,686,164,803 0.042%
Quant ₽88,632,434,077 0.042%
"Axie Infinity" ₽87,576,507,872 0.042%
"Bitcoin SV" ₽86,856,355,714 0.041%
ORDI ₽85,748,273,669 0.041%
Beam ₽86,606,854,239 0.041%
"BitTorrent [New]" ₽85,762,993,482 0.041%
"dYdX (Native)" ₽81,034,339,206 0.039%
MultiversX ₽79,983,236,506 0.038%
Chiliz ₽79,802,959,527 0.038%
Neo ₽79,665,753,650 0.038%
"The Sandbox" ₽77,934,612,656 0.037%
Pendle ₽76,446,774,776 0.036%
Gnosis ₽75,831,836,636 0.036%
Ronin ₽75,461,606,928 0.036%
Worldcoin ₽74,181,173,899 0.035%
Wormhole ₽72,625,092,821 0.035%
"Akash Network" ₽72,405,884,841 0.034%
Oasis ₽71,343,184,263 0.034%
Tezos ₽71,398,411,096 0.034%
GateToken ₽70,932,549,191 0.034%
SingularityNET ₽70,807,587,707 0.034%
Conflux ₽69,248,347,669 0.033%
Nexo ₽67,339,490,508 0.032%
"Ethereum Name Service" ₽66,839,684,911 0.032%
Mina ₽65,932,668,872 0.031%
Decentraland ₽65,879,883,500 0.031%
